DANH SÁCH HÀNG HOÁ TAVY KOREA - TỰ ĐỘNG CÀO & ĐỒNG BỘ NGUYÊN BẢN 100%,,,,,,,,,,,
STT,MÃ SẢN PHẨM,TÊN SẢN PHẨM,THƯƠNG HIỆU,PHÂN LOẠI,ẢNH SẢN PHẨM,MÔ TẢ, GHI CHÚ SẢN PHẨM,XUẤT SỨ,GIÁ THÀNH(VNĐ),GIÁ THÀNH(WON),ĐÁNH GIÁ,LINK SẢN PHẨM HÀN QUỐC (DÁN LINK VÀO ĐÂY ĐỂ CÀO AUTO)
1,A000000185934,Tinh chất dưỡng ẩm sâu Torriden Dive-In Low Molecular Hyaluronic Acid Serum,Torriden,skincare,https://images.unsplash.com/photo-1620916566398-39f1143ab7be,"Serum dưỡng ẩm quốc dân Hàn Quốc TOP 1 Olive Young 3 năm liên tiếp. Cấp nước đa tầng làm dịu da tức thì.",Store Olive Young Seoul,351000,18000,4.9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185934
2,A000000159495,Nước hoa hồng làm dịu da Anua Heartleaf 77% Soothing Toner,Anua,skincare,https://images.unsplash.com/photo-1556229174-5e42a09e45af,"Toner chứa 77% chiết xuất lá rau diếp cá thu hoạch tại Hàn Quốc. Giúp làm dịu da mẩn đỏ kiềm dầu mụn.",Store Olive Young Seoul,546000,28000,4.8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159495
3,A000000146950,Tinh chất rau má Madagascar Centella Ampoule,Skin1004,skincare,https://images.unsplash.com/photo-1608248597279-f99d160bfcbc,"100% chiết xuất rau má tinh khiết từ vùng đảo Madagascar. Phục hồi hàng rào bảo vệ da bị tổn thương.",Store Olive Young Seoul,429000,22000,4.9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146950
4,A000000201102,Kem chống nắng nâng tông tự nhiên Round Lab Birch Juice Moisturizing Sunscreen,Round Lab,skincare,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908,"Kem chống nắng nhựa cây Bạch Dương nổi tiếng TOP 1 Olive Young. SPF50+ PA++++ kiềm dầu mỏng nhẹ.",Store Olive Young Myeongdong,487500,25000,4.9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201102
5,A000000192301,Kem dưỡng sâm cổ truyền Beauty of Joseon Dynasty Cream,Beauty of Joseon,skincare,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881,"Kem dưỡng ẩm đông y Hàn Quốc chiết xuất nhân sâm, nước gạo nếp nuôi dưỡng da căng mọng.",Store Olive Young Seoul,468000,24000,4.8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192301
6,A000000128120,Son tint lì bóng Romand Juicy Lasting Tint,Romand,makeup,https://images.unsplash.com/photo-1586495777744-4413f21062fa,"Son tint bóng bám màu siêu lâu nổi tiếng của Romand. Lên màu chuẩn xác với hiệu ứng căng mọng.",Store Olive Young Myeongdong,193050,9900,4.7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000128120
7,A000000180234,Phấn nước che phủ căng bóng Clio Kill Cover Mesh Glow Cushion,Clio,makeup,https://images.unsplash.com/photo-1596462502278-27bfdc403348,"Cushion dạng lưới thế hệ mới giúp che khuyết điểm hoàn hảo căng bóng trong suốt chuẩn Hàn.",Store Olive Young Seoul,624000,32000,4.9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180234
8,A000000171209,Chì kẻ chân mày tự nhiên lâu trôi Etude House Drawing Eye Brow,Etude House,makeup,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e,"Chì kẻ mày hai đầu quốc dân Hàn Quốc dễ tạo dáng gẩy sợi chân mày tự nhiên không vón cục.",Store Etude Korea,87750,4500,4.6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171209
9,P000000001001,Cao Hắc Sâm Hàn Quốc Cao Cấp CheongKwanJang Everytime Extract,CheongKwanJang (KGC),health,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae,"Chiết xuất 100% hồng sâm 6 năm tuổi Hàn Quốc nguyên chất đậm đặc. Tăng cường sức đề kháng.",Tập đoàn Hồng Sâm KGC,1911000,98000,5.0,https://www.kgc.co.kr/product/detail.do?prdId=P000000001001
10,P000000001002,Viên Uống Collagen Thủy Phân Orthomol Beauty Hàn Quốc,Orthomol,health,https://images.unsplash.com/photo-1576426863848-c21f53c60b19,"Nước uống Collagen cao cấp tích hợp Vitamin C, E, Biotin giúp mờ nếp nhăn mượt tóc móng.",Nhập khẩu chính hãng Hàn Quốc,1267500,65000,4.9,https://www.orthomol.co.kr/product/detail.do?prdId=P000000001002
